id,Speciality,Description,Subspeciality
12.0,Hospital Medicine,"Hospital medicine is a subspecialty, usually of internal medicine. A doctor of hospital medicinea hospitalistworks exclusively in a hospital and provides general medical care to hospitalized patients. Aside from clinical care, hospitalists also teach, do research, and work to improve hospital and healthcare system performance. Hospitalists may complete a three-year residency in emergency, family, internal, or pediatric medicine before doing a one-year fellowship in hospital medicine. Minimum postgraduate training: four years.","['emergency medical services', 'hospice and palliative medicine', 'neurocritical care', 'pediatric hospital medicine', 'sports medicine', 'toxicology', 'undersea and hyperbaric medicine']"
13.0,Internal Medicine,"Internal medicine is a broad and versatile discipline that often serves as a preliminary specialty before physicians enter a wide range of other medical specialties or subspecialties. Doctors of internal medicineinternistsevaluate, diagnose, and manage the wide spectrum of disorders and illnesses that affect adults. Internists may serve as primary care physicians and deal with chronic illness as well as disease prevention and health promotion. Internal medicine covers all medical problems and organ systems in adults, making it an ideal foundation for physicians who wish to pursue additional training. An internal medicine residency lasts three years.","['cardiovascular, infectious, or pulmonary disease', 'critical care, geriatric, or sports medicine', 'endocrinology, diabetes, and metabolism', 'gastroenterology', 'hematology', 'medical oncology', 'nephrology', 'transplant hepatology']"
14.0,Neurology,"Neurologists diagnose, treat, and manage conditions of the nervous system, which includes the brain, muscles, peripheral nerves, and spinal cord, as well as the blood vessels that relate to these structures. Neurologists use such diagnostic tests as computer-assisted tomography (CAT) scans, electroencephalograms (EEG), and magnetic resonance imaging (MRI) to identify neurological problems. Neurologists may treat Alzheimers disease, encephalitis, epilepsy, headaches and other pain, learning disabilities, meningitis, muscular dystrophy, multiple sclerosis, neurodevelopmental disorders, Parkinsons disease, strokes, tumors, and other chronic conditions. A neurology residency lasts between four and five years.","['child neurology', 'clinical neurophysiology', 'endovascular surgical neuroradiology', 'neuromuscular or pain medicine']"
15.0,Neurological Surgery,"Neurological surgery treats disorders of the central, peripheral, and autonomic nervous systems, including their supporting structures and vascular supply. Neurological surgeons provide such nonoperative management as critical care, diagnosis, evaluation, prevention, and rehabilitation, as well as such procedures as endovascular surgery, functional and restorative surgery, spinal fusion, and stereotactic radiosurgery. Neurosurgeons treat disorders of the brain, the extracranial carotid and vertebral arteries, the meninges, and the skull. Neurosurgeons also treat disorders of the cranial and spinal nerves, the pituitary gland, the spinal cord, and the vertebral column. A neurological surgery residency lasts seven years.",
16.0,Obstetrics and Gynecology,"Obstetrics (womens healthcare during pregnancy, childbirth, and the postpartum period) and gynecology (reproductive health and the functions and diseases specific to women and girls) are different disciplines, but they are paired in residency and often in practice. An obstetrician gynecologist (OB/GYN) handles both disciplines and is an overall expert on womens health. An OB/GYN provides womens health services, particularly those related to the reproductive organs. OB/GYNs often serve as primary care doctors. They work with their hands, they counsel their patients, and they perform diagnostic procedures, surgeries, and other treatments. They may treat such issues as urinary tract infections and incontinence. They may also deliver babies and treat abnormal bleeding, genital itching, and hormone disorders. OB-GYNs provide a range of preventive care services, including birth control and immunizations. An obstetrics gynecology residency is typically four years.","['female pelvic medicine and reconstructive surgery', 'gynecologic oncology', 'maternal-fetal medicine', 'reproductive endocrinology and infertility']"
17.0,Ophthalmic Surgery,"Ophthalmic surgery treats diseases and disorders of the eyes. Ophthalmologists may provide corrective vision services (eyeglasses or contacts) or perform laser-assisted in situ keratomileusis (LASIK) or photorefractive keratectomy (PRK) surgeries to correct vision problems. They may also operate to treat such disorders as cataracts, diabetic retinopathy, glaucoma, macular degeneration, or strabismus (cross-eyes). An ophthalmology residency lasts four years.","['cornea and external disease', 'ocular oncology', 'neuro-ophthalmology', 'ophthalmic plastic and reconstructive surgery', 'vitreoretinal disease']"
18.0,Orthopaedic Surgery,"Orthopaedic (also spelled orthopedic) surgery is devoted to the care of the musculoskeletal systemthe bodys bones, joints, muscles, associated nerves, arteries, and the overlying skin. Orthopaedic surgeons treat such problems as bone fractures, injuries to tendons and ligaments, and deformities of the limbs and spine. An orthopaedist may use braces, casts, physical therapy, or splints to treat patients. Orthopaedic surgery may be required to treat congenital deformities, degenerative conditions, infections, metabolic disturbances, trauma, and tumors. An orthopaedic surgeons expertise may also include the surgical treatment of cerebral palsy, paraplegia, or stroke. An orthopaedic surgery residency lasts five years. Because of the wide scope of the musculoskeletal system, orthopaedic surgery includes various subspecialties, all of which require additional training.","['adult reconstructive orthopaedics', 'hand surgery', 'musculoskeletal oncology', 'orthopaedic sports medicine', 'orthopaedic surgery of the spine', 'pediatric orthopaedics']"
19.0,Otolaryngology,"Doctors of otolaryngologyotolaryngologistsevaluate, diagnose, and manage problems of the ear, nose, and throat, as well as the rest of the head and neck. Often called ENTs (Ear, Nose, and Throat physicians), they deal with common complaints related to allergies, ear infections, sinusitis, and speech or swallowing problems. But ENTs also treat such severe problems as cancers, nerve pain, thyroid conditions, traumatic injuries, and tumors, and they may perform plastic or reconstructive surgery. An otolaryngology residency generally lasts five years.","['neurotology', 'pediatric otolaryngology']"
20.0,Pathology,"Pathologists are experts in the diagnosis, prognosis, and treatment of disorders of body tissues and fluids. Pathology the study of diseasecombines science and medicine, and it requires an extensive and detailed knowledge of both. Pathology deals with every aspect of patient care, from disease prevention and diagnostic testing and treatment to the use of new technologies. Pathologists identify and treat numerous conditions, and they can help improve the quality of life for people with chronic and often life-threatening maladies. A pathology residency lasts three to four years. Doctors of pathology may follow or combine analytic, diagnostic, or forensic pathology residencies.","['blood banking-transfusion medicine', 'chemical pathology', 'cytopathology', 'hematology', 'medical microbiology', 'neuropathology', 'pediatric pathology']"
21.0,Pediatrics,"A doctor of pediatricsa pediatriciancares for infants, children, adolescents, and young adults. Pediatricians care for the physical as well as the emotional and psychological health of children. Pediatricians treat illness, injuries, and infections, and they also help ensure that children achieve milestones in their growth, behavior, and skills. Pediatricians also advise parents in matters of health, nutrition, safety, and fitness. A pediatric residency is three years, but many physicians combine pediatric medicine with another specialty.","['adolescent medicine', 'child abuse pediatrics', 'developmental-behavioral pediatrics', 'neonatal-perinatal medicine', 'pediatric cardiology', 'pediatric critical care medicine', 'pediatric endocrinology', 'pediatric gastroenterology', 'pediatric hematology-oncology', 'pediatric infectious diseases', 'pediatric nephrology', 'pediatric pulmonology', 'pediatric rheumatology', 'pediatric sports medicine', 'pediatric transplant hepatology']"
22.0,Physical Medicine and Rehabilitation,"A doctor of physical medicine and rehabilitation (PM&R), which is also known as physiatry, is called a physiatrist. Physiatrists are experts in the diagnosis, prognosis, and treatment of disorders of the musculoskeletal system. This system includes the bones that support the body, the muscles that move the body, and the connections between them. Physiatry also concerns the parts of the nervous system that control body movements and register pain. PM&R physicians do a preliminary year of internal medicine before completing a three-year PM&R residency. Minimum postgraduate training: four years.","['neuromuscular medicine', 'pain medicine', 'spinal cord injury medicine', 'sports medicine']"
23.0,Plastic Surgery,"A plastic surgeon is an expert in the repair, reconstruction, or replacement of physical defects involving the breast and trunk, craniomaxillofacial structures, external genitalia, extremities, hands, musculoskeletal system, and skin, or the cosmetic enhancement of these parts of the body. Plastic surgeons also use cosmetic surgery to improve overall appearance and to optimize the outcome of reconstructive procedures. A plastic surgery residency lasts five to six years.","['craniofacial surgery', 'hand surgery']"
24.0,Preventive Medicine,"Preventive medicine specialists are experts in disease prevention and health promotion. Preventive medicine physicians may help individuals, groups, communities, or entire populations maintain their health. Preventive medicine doctors assess medical conditions and perform physical examinations, make diagnoses and develop treatment plans, evaluate health programs and policies, and use diagnostic studies and tests. They may help people quit smoking, lose weight, eat healthfully, or reduce alcohol or drug use. Preventive medicine physicians also help ensure healthy pregnancies and safe work environments, treat depression, work in poison control, and administer vaccinations to prevent diseases and viruses. Preventive medicine residency usually begins with a transitional year of internal medicine followed by two years of a preventive medicine specialty. Doctors may also complete a three-year internal or family medicine residency and then add an extra year of preventive medicine training. Minimum postgraduate training: three years.","['addiction medicine', 'aerospace medicine', 'occupational medicine', 'undersea and hyperbaric medicine', 'clinical informatics', 'medical toxicology', 'public health']"
25.0,Psychiatry,"Psychiatrists are medical doctors that specialize in the diagnosis, prevention, and treatment of addictive, adjustment, anxiety, behavioral, emotional, mental, mood, psychotic, and sexual or gender identity disorders. As specially trained medical doctors, psychiatrists understand the biological, psychological, and social components of mental illness. Psychiatrists evaluate and treat patients through behavior modification, individual or group therapy, and psychoanalysis. They generally use a holistic approach to treatment, but psychiatrists also prescribe pharmacological treatments. A psychiatry residency is four years.","['addiction psychiatry', 'administrative psychiatry', 'child and adolescent psychiatry', 'community psychiatry', 'consultation/ liaison psychiatry', 'emergency psychiatry', 'forensic psychiatry', 'geriatric psychiatry', 'intellectual disability psychiatry', 'military psychiatry', 'pain medicine', 'psychiatric research', 'psychosomatic medicine']"
26.0,Radiology,"A radiologist is a doctor who interprets or reads medical images to diagnose and treat diseases or injuries. To generate these images, doctors of radiology use such technologies as computed tomography (CT) scanning, magnetic resonance imaging (MRI), nuclear imaging, positron emission tomography (PET), X-rays, and ultrasound. These images and the training radiologists use to read them are vital to detecting and treating illness, injury, and other chronic problems. A doctor of radiology may specialize as a diagnostic radiologist, an interventionist radiologist, or a radiation oncologist. Radiologists do a preliminary year in a broad-based clinical specialty such as internal medicine before completing a four- to six-year residency, depending on the radiology specialization. Minimum postgraduate training: five years.","['abdominal radiology', 'cardiothoracic radiology', 'endovascular surgical neuroradiology', 'musculoskeletal radiology', 'neuroradiology', 'nuclear medicine', 'pediatric radiology', 'vascular radiology']"
27.0,Rheumatology,"Rheumatology is a subspecialty of internal medicine. A rheumatologist evaluates, diagnoses, and manages disorders involving the joints, muscles, and connective tissues. Rheumatologists treat a wide spectrum of disorders related to the musculoskeletal system, including autoimmune and inflammatory diseases that may involve other organ systems. Conditions treated by rheumatologists include arthritis, crystalline diseases, fibromyalgia, gout, lupus, osteoporosis, osteoarthritis, polymyalgia rheumatica, spondyloarthropathies, vasculitis, and common musculoskeletal and sports injuries. Rheumatologists do a three-year residency in internal medicine before completing a two-year residency in rheumatology. The specialty may be combined with allergy and immunology in a three-year residency. Minimum postgraduate training: five years.",
28.0,Sleep Medicine,"Sleep medicine is a subspecialty of internal medicine. Physicians trained in sleep medicinesomnologistsdiagnose and treat sleep disturbances and disorders. Sleep medicine deals with circadian sleep disorders and such conditions as insomnia, narcolepsy, sleep apnea, and somnambulism. Somnologists do a three-year residency in internal medicine before completing a one-year residency in sleep medicine. Minimum postgraduate training: four years.",
29.0,Thoracic Surgery,"Thoracic surgeons specialize in surgeries of the chest. Thoracicalso called cardiothoracicsurgery ranks among the most high-intensity of medical specialties, as this area of the body includes some of the most vital and lifegiving organsthe heart and lungs. Thoracic surgeons perform such critical operations as open heart surgery and removal of cancerous lung tissue or tumors of the esophagus and chest wall. They treat abnormalities of the great blood vessels, including the aorta, and problems of the diaphragm, the chief muscle used in breathing. Thoracic surgeons also repair problems with the airways along with injuries of the chest. A thoracic surgery residency generally lasts seven years. Congenital cardiac surgery is a thoracic subspecialty.",
30.0,Urology,"Urologistsalso known as genitourinary surgeonsdiagnose and treat disorders of the urinary tracts. They also deal with the male reproductive system. Urologists handle such nonsurgical problems as urinary tract infections and prostatic hyperplasia, as well as such surgical problems as cancers, congenital abnormalities, and stress incontinence. A urology residency lasts at least five years. Pediatric urology is the main subspecialty.",
31.0,Vascular Surgery,"Vascular surgeons deal with diseases and disorders affecting the arteries, veins, and lymphatic systems, excluding vessels of the brain and heart. Vascular surgeons are also trained in nonsurgical treatment of vascular disease. Vascular surgeons may clear artery blockages, repair veins to improve circulation, and treat aneurysms in the aorta or vascular trauma. A vascular surgery residency lasts six to seven years.",
32.0,Oncology,"Oncologists specialize in diagnosing and treating cancer. They manage various types of cancer such as breast cancer, lung cancer, colon cancer, and leukemia, and may provide chemotherapy, radiation therapy, and surgical interventions.",
33.0,Endocrinology,"Endocrinologists specialize in diagnosing and treating diseases and conditions of the endocrine system, including glands such as the thyroid, pancreas, and adrenal glands. They manage conditions such as diabetes, thyroid disorders, adrenal insufficiency, and hormone imbalances, and may perform procedures such as thyroid biopsies and insulin pump therapy.",
34.0,Nephrology,"Nephrologists focus on diagnosing and treating diseases and conditions of the kidneys. They manage conditions such as chronic kidney disease, kidney stones, glomerulonephritis, and polycystic kidney disease, and may perform procedures such as kidney biopsies and dialysis access placement",
35.0,Pulmonology,"Pulmonologists focus on diagnosing and treating diseases and conditions of the respiratory system, including the lungs and airways. They manage conditions such as asthma, chronic obstructive pulmonary disease (COPD), pneumonia, and lung cancer, and may perform procedures such as pulmonary function tests and bronchoscopy.",
36.0,Gastroenterology,"Gastroenterologists specialize in diagnosing and treating diseases and conditions of the digestive system, including the esophagus, stomach, intestines, liver, and pancreas. They manage conditions such as acid reflux, ulcers, inflammatory bowel disease, liver disease, and pancreatic disorders, and may perform procedures such as endoscopy and colonoscopy.",
,Sexologist,"A sexologist is a professional who specializes in the study and treatment of human sexuality. They possess extensive knowledge about various aspects of sexual health, behavior, relationships, and identity. Sexologists may work in clinical settings, offering counseling and therapy to individuals or couples dealing with sexual issues such as dysfunction, dissatisfaction, or trauma. They also engage in research, contributing to the understanding of sexual development, desire, and functioning. Additionally, sexologists often provide education and advocacy, promoting sexual wellness, consent, and diversity. Their work aims to foster healthy attitudes towards sex and intimacy while addressing the diverse needs and concerns of individuals and communities.",
